source,target,partition_col
0-3826,0-3429,0
0-4584,0-2055,0
0-938,0-1831,0
0-2196,0-958,0
0-1140,0-5494,0
0-2703,0-5478,0
0-4920,0-4829,0
0-1326,0-2394,0
0-3953,0-4219,0
0-5244,0-1359,0
0-4276,0-4653,0
0-3357,0-2491,0
0-276,0-3217,0
0-5334,0-2312,0
0-5250,0-3430,0
0-5237,0-3664,0
0-5309,0-4085,0
0-5197,0-3840,0
0-3233,0-4508,0
0-4903,0-2906,0
0-3983,0-880,0
0-4486,0-4894,0
0-5435,0-5462,0
0-4527,0-4659,0
0-1758,0-3443,0
0-5580,0-3026,0
0-1793,0-2371,0
0-3606,0-5058,0
0-3359,0-5413,0
0-832,0-3021,0
0-2692,0-5319,0
0-2166,0-3871,0
0-4904,0-4611,0
0-521,0-4714,0
0-3378,0-4535,0
0-4939,0-1067,0
0-1452,0-5324,0
0-5523,0-2100,0
0-4947,0-2482,0
0-3748,0-1473,0
0-2761,0-4428,0
0-974,0-2758,0
0-4182,0-4984,0
0-4878,0-4436,0
0-5484,0-533,0
0-4132,0-5219,0
0-4430,0-2907,0
0-5090,0-5171,0
0-5211,0-5109,0
0-3678,0-3874,0
0-2694,0-3695,0
0-2694,0-4985,0
0-4577,0-3094,0
0-4277,0-5357,0
0-4197,0-5443,0
0-5182,0-1380,0
0-2865,0-5378,0
0-3515,0-5116,0
0-664,0-5411,0
0-1212,0-3936,0
0-3614,0-4626,0
0-5501,0-5341,0
0-5241,0-4291,0
0-3687,0-4111,0
0-2282,0-2566,0
0-3731,0-2305,0
0-5286,0-2131,0
0-2948,0-3035,0
0-3424,0-3336,0
0-5466,0-2089,0
0-4098,0-4284,0
0-5481,0-2103,0
0-3401,0-4307,0
0-2812,0-3138,0
0-1672,0-3179,0
0-5320,0-3285,0
0-3776,0-2849,0
0-2578,0-5015,0
0-3159,0-1722,0
0-860,0-4495,0
0-2156,0-5296,0
0-1258,0-4709,0
0-4369,0-2843,0
0-3492,0-3332,0
0-2428,0-2367,0
0-2736,0-4591,0
0-3592,0-4638,0
0-715,0-3147,0
0-3988,0-3069,0
0-5080,0-5322,0
0-4078,0-5342,0
0-4063,0-2814,0
0-4864,0-5134,0
0-3365,0-4921,0
0-5664,0-2978,0
0-5470,0-3897,0
0-3320,0-1946,0
0-4198,0-1786,0
0-4364,0-5665,0
0-3416,0-4874,0
0-4112,0-4032,0
0-4165,0-2159,0
0-4868,0-4857,0
0-3190,0-1442,0
0-5049,0-5071,0
0-4800,0-1291,0
0-5056,0-5077,0
0-3784,0-5481,0
0-5618,0-5204,0
0-5007,0-5333,0
0-4821,0-4387,0
0-2243,0-1949,0
0-4961,0-3125,0
0-1033,0-2743,0
0-2455,0-2971,0
0-3734,0-5376,0
0-363,0-2649,0
0-4083,0-5014,0
0-5602,0-4394,0
0-5416,0-5556,0
0-1668,0-5271,0
0-644,0-5039,0
0-2578,0-543,0
0-2937,0-3797,0
0-3207,0-2937,0
0-4671,0-3866,0
0-880,0-4275,0
0-2895,0-3588,0
0-5379,0-5164,0
0-5125,0-3389,0
0-149,0-1973,0
0-4271,0-1962,0
0-1321,0-3535,0
0-5207,0-2283,0
0-5420,0-5160,0
0-4377,0-3762,0
0-3613,0-546,0
0-4248,0-1289,0
0-3705,0-853,0
0-3022,0-4466,0
0-4413,0-5505,0
0-4961,0-5355,0
0-4627,0-1877,0
0-3805,0-5131,0
0-4335,0-4730,0
0-4990,0-5439,0
0-3892,0-5121,0
0-4389,0-3513,0
0-2067,0-4237,0
0-2763,0-196,0
0-4503,0-460,0
0-3973,0-4670,0
0-2511,0-4324,0
0-5228,0-3529,0
0-4783,0-4217,0
0-4612,0-3370,0
0-3141,0-2114,0
0-3643,0-3274,0
0-2586,0-2647,0
0-4261,0-4253,0
0-5032,0-5330,0
0-4468,0-2161,0
0-4261,0-2363,0
0-4564,0-4175,0
0-4295,0-4301,0
0-3043,0-4724,0
0-2270,0-4687,0
0-3110,0-2701,0
0-4962,0-3700,0
0-5671,0-4719,0
0-2203,0-5146,0
0-2461,0-678,0
0-3669,0-750,0
0-3746,0-3789,0
0-3881,0-1831,0
0-2530,0-5450,0
0-5601,0-4770,0
0-2061,0-4886,0
0-4120,0-4430,0
0-5418,0-5004,0
0-3238,0-3795,0
0-5159,0-2432,0
0-2332,0-3681,0
0-3126,0-4778,0
0-4369,0-4022,0
0-3570,0-3357,0
0-3089,0-5610,0
0-4609,0-1624,0
0-4483,0-2502,0
0-4558,0-3453,0
0-3780,0-4375,0
0-5223,0-4485,0
0-2772,0-5055,0
0-4888,0-450,0
0-2470,0-5242,0
0-4310,0-3056,0
0-5507,0-3834,0
0-892,0-3840,0
0-4467,0-5024,0
0-3664,0-4358,0
0-3094,0-5637,0
0-3907,0-4233,0
0-3853,0-5358,0
0-3907,0-4281,0
0-4932,0-3886,0
0-858,0-5564,0
0-5311,0-3728,0
0-4816,0-2662,0
0-5431,0-3579,0
0-4514,0-5306,0
0-1104,0-2874,0
0-4774,0-3172,0
0-1730,0-1734,0
0-3706,0-5452,0
0-1956,0-2218,0
0-2402,0-4461,0
0-2646,0-4524,0
0-5347,0-4617,0
0-3257,0-2231,0
0-1329,0-4608,0
0-4907,0-2213,0
0-3833,0-2518,0
0-1254,0-2749,0
0-5178,0-1425,0
0-4941,0-4916,0
0-5297,0-5268,0
0-4720,0-4771,0
0-5430,0-4454,0
0-5339,0-5576,0
0-4739,0-3550,0
0-2417,0-1983,0
0-3790,0-5213,0
0-5532,0-4820,0
0-1883,0-3423,0
0-4715,0-5613,0
0-5474,0-4824,0
0-2174,0-5260,0
0-4921,0-4216,0
0-3725,0-3290,0
0-5111,0-4084,0
0-4610,0-4744,0
0-5102,0-4007,0
0-1428,0-3986,0
0-4803,0-4131,0
0-1010,0-4896,0
0-5127,0-2085,0
0-3226,0-4224,0
0-3643,0-708,0
0-1016,0-3875,0
0-3805,0-3430,0
0-3016,0-3530,0
0-5164,0-4203,0
0-3400,0-2848,0
0-3713,0-4997,0
0-1308,0-3254,0
0-2441,0-3247,0
0-2970,0-5120,0
0-4797,0-4908,0
0-3629,0-2747,0
0-4290,0-4269,0
0-5368,0-4165,0
0-4236,0-4894,0
0-4963,0-4455,0
0-4567,0-4228,0
0-3240,0-5390,0
0-5003,0-4987,0
0-2575,0-2779,0
0-3634,0-5496,0
0-4617,0-1796,0
0-3403,0-4479,0
0-1239,0-3637,0
0-4066,0-3713,0
0-3549,0-1683,0
0-4671,0-5575,0
0-4388,0-5431,0
0-3442,0-5312,0
0-2780,0-2053,0
0-5406,0-3375,0
0-1984,0-4684,0
0-4941,0-2112,0
0-2210,0-2905,0
0-970,0-2007,0
0-4165,0-3088,0
0-5344,0-5652,0
0-1545,0-3137,0
0-2504,0-2650,0
0-2042,0-2056,0
0-2207,0-3387,0
0-1988,0-4623,0
0-4904,0-5309,0
0-4894,0-4930,0
0-2167,0-3811,0
0-4975,0-2427,0
0-5035,0-5657,0
0-2327,0-3701,0
0-3651,0-2217,0
0-3259,0-5015,0
0-5508,0-5239,0
0-5617,0-3892,0
0-1394,0-4572,0
0-5655,0-3960,0
0-2335,0-4542,0
0-5307,0-2099,0
0-5252,0-2801,0
0-4762,0-3143,0
0-3728,0-4761,0
0-4247,0-4519,0
0-5241,0-4248,0
0-3027,0-3100,0
0-4320,0-2989,0
0-2940,0-4623,0
0-4338,0-1183,0
0-3867,0-5076,0
0-5456,0-4221,0
0-5625,0-4608,0
0-4973,0-4374,0
0-4680,0-1712,0
0-1723,0-3419,0
0-1766,0-5280,0
0-2166,0-5525,0
0-5429,0-4132,0
0-4435,0-3628,0
0-1815,0-4743,0
0-2543,0-4784,0
0-5250,0-3844,0
0-4273,0-4746,0
0-2118,0-2980,0
0-5543,0-5595,0
0-4684,0-4571,0
0-5083,0-1871,0
0-3480,0-4351,0
0-2691,0-2329,0
0-2221,0-1605,0
0-2790,0-5342,0
0-2905,0-5305,0
0-5085,0-3626,0
0-2012,0-2678,0
0-1800,0-5449,0
0-4811,0-5291,0
0-5062,0-3085,0
0-5467,0-5335,0
0-4874,0-5096,0
0-4895,0-5634,0
0-3759,0-2078,0
0-5584,0-1671,0
0-3294,0-1151,0
0-5209,0-2300,0
0-2537,0-4210,0
0-4825,0-3086,0
0-4882,0-5645,0
0-5621,0-4764,0
0-3382,0-2352,0
0-505,0-1971,0
0-2381,0-4743,0
0-2929,0-3767,0
0-5225,0-1391,0
0-3647,0-5108,0
0-4383,0-5257,0
0-4410,0-851,0
0-5182,0-1193,0
0-5254,0-3808,0
0-4482,0-2119,0
0-5485,0-2937,0
0-3545,0-3922,0
0-3921,0-3560,0
0-4649,0-4700,0
0-3651,0-3781,0
0-3486,0-2869,0
0-4764,0-2678,0
0-2789,0-4606,0
0-3363,0-4375,0
0-3461,0-194,0
0-5008,0-2778,0
0-458,0-5064,0
0-4647,0-2199,0
0-3228,0-3831,0
0-5558,0-4420,0
0-4864,0-4359,0
0-3717,0-5180,0
0-4173,0-4219,0
0-4417,0-4993,0
0-5531,0-2525,0
0-3696,0-5229,0
0-3911,0-3588,0
0-2081,0-3576,0
0-2183,0-4198,0
0-5203,0-4399,0
0-2865,0-5033,0
0-4658,0-5160,0
0-5119,0-2710,0
0-4864,0-5334,0
0-3723,0-3967,0
0-4361,0-3944,0
0-3637,0-3796,0
0-3679,0-2006,0
0-4203,0-5475,0
0-5636,0-2112,0
0-4034,0-4645,0
0-5443,0-1872,0
0-4843,0-1781,0
0-5180,0-4835,0
0-2511,0-3081,0
0-3868,0-1022,0
0-3526,0-5520,0
0-5044,0-3658,0
0-3994,0-2518,0
0-2134,0-2878,0
0-2802,0-3724,0
0-5103,0-4304,0
0-2287,0-5606,0
0-753,0-3584,0
0-2999,0-767,0
0-3845,0-3290,0
0-2918,0-3084,0
0-3687,0-4514,0
0-1639,0-5062,0
0-1735,0-4203,0
0-3671,0-2470,0
0-5020,0-3167,0
0-5617,0-3411,0
0-1345,0-3714,0
0-2427,0-3601,0
0-4195,0-5159,0
0-4613,0-4814,0
0-3814,0-5178,0
0-4562,0-2087,0
0-292,0-5051,0
0-3390,0-3124,0
0-4803,0-5018,0
0-5315,0-4836,0
0-4053,0-1055,0
0-5660,0-3364,0
0-4847,0-5560,0
0-5498,0-3506,0
0-2126,0-5666,0
0-5367,0-5158,0
0-1437,0-2798,0
0-2960,0-4361,0
0-5196,0-330,0
0-740,0-4759,0
0-1697,0-3424,0
0-3340,0-5032,0
0-5199,0-4479,0
0-5648,0-3622,0
0-2791,0-4713,0
0-4996,0-4262,0
0-1990,0-4560,0
0-810,0-5178,0
0-5538,0-4950,0
0-5384,0-4679,0
0-4756,0-4329,0
0-4356,0-5483,0
0-5510,0-2784,0
0-4633,0-5382,0
0-5063,0-4252,0
0-2783,0-3412,0
0-4237,0-4405,0
0-3715,0-4328,0
0-5273,0-5021,0
0-5043,0-5159,0
0-1535,0-4519,0
0-5311,0-4750,0
0-5106,0-5238,0
0-5304,0-4291,0
0-2861,0-1821,0
0-4774,0-4893,0
0-3887,0-5490,0
0-4268,0-1820,0
0-5563,0-2487,0
0-787,0-3761,0
0-5494,0-2035,0
0-4647,0-4431,0
0-2353,0-3268,0
0-2921,0-3648,0
0-3859,0-4042,0
0-4664,0-302,0
0-3848,0-3172,0
0-4297,0-5129,0
0-5178,0-4844,0
0-5456,0-5636,0
0-3843,0-4882,0
0-5023,0-3467,0
0-5513,0-4468,0
0-3568,0-3942,0
0-4783,0-5178,0
0-3596,0-4596,0
0-2358,0-5475,0
0-2799,0-4371,0
0-5557,0-4960,0
0-4478,0-4786,0
0-5382,0-4339,0
0-2084,0-2152,0
0-1476,0-4461,0
0-4271,0-3624,0
0-5300,0-2939,0
0-2753,0-2416,0
0-2451,0-1059,0
0-5056,0-3264,0
0-1535,0-4064,0
0-5662,0-2062,0
0-4436,0-5442,0
0-3249,0-2967,0
0-1196,0-5643,0
0-4976,0-4551,0
0-5039,0-4405,0
0-1561,0-4692,0
0-5255,0-2118,0
0-4703,0-3867,0
0-1872,0-1805,0
0-3562,0-2338,0
0-1295,0-4515,0
0-3739,0-2437,0
0-3732,0-3194,0
0-2848,0-2447,0
0-4045,0-3258,0
0-2726,0-4932,0
0-3344,0-3312,0
0-2859,0-1518,0
0-2308,0-5199,0
0-3120,0-4704,0
0-4786,0-3223,0
0-3450,0-3713,0
0-5620,0-2208,0
0-3482,0-4894,0
0-3879,0-414,0
0-4870,0-5243,0
0-4226,0-1438,0
0-5260,0-2400,0
0-3378,0-2679,0
0-2776,0-5201,0
0-5592,0-3523,0
0-4089,0-4706,0
0-4888,0-4784,0
0-2367,0-5427,0
0-5311,0-5217,0
0-3917,0-4518,0
0-4669,0-5345,0
0-5624,0-4617,0
0-3872,0-4505,0
0-1076,0-4023,0
0-5117,0-4595,0
0-4361,0-3818,0
0-2877,0-4734,0
0-3951,0-4248,0
0-4017,0-2115,0
0-5565,0-1467,0
0-5440,0-4617,0
0-4799,0-1529,0
0-4890,0-2406,0
0-2952,0-2339,0
0-4287,0-3368,0
0-5240,0-2749,0
0-4868,0-3576,0
0-4240,0-2232,0
0-2609,0-3429,0
0-5160,0-1015,0
0-4981,0-4311,0
0-974,0-5081,0
0-4667,0-4459,0
0-4314,0-5006,0
0-4754,0-4060,0
0-4422,0-5265,0
0-5634,0-3222,0
0-3129,0-4907,0
0-3990,0-3894,0
0-3197,0-3247,0
0-3985,0-4704,0
0-3793,0-4029,0
0-5338,0-4737,0
0-3387,0-4185,0
0-4911,0-2737,0
0-2520,0-3850,0
0-5506,0-4799,0
0-2485,0-2513,0
0-4798,0-1548,0
0-5161,0-2773,0
0-5430,0-1809,0
0-3958,0-5532,0
0-3641,0-4623,0
0-780,0-5480,0
0-5461,0-5485,0
0-3904,0-3583,0
0-3747,0-4302,0
0-5328,0-5563,0
0-4098,0-5504,0
0-3413,0-2244,0
0-5136,0-4933,0
0-4338,0-3915,0
0-2257,0-3783,0
0-2844,0-4007,0
0-4723,0-5518,0
0-4409,0-4932,0
0-2405,0-3898,0
0-5544,0-4591,0
0-5169,0-2617,0
0-3911,0-2982,0
0-5319,0-4500,0
0-2740,0-4376,0
0-2048,0-4951,0
0-4748,0-3768,0
0-4627,0-5422,0
0-5371,0-4393,0
0-4824,0-5466,0
0-1952,0-3292,0
0-4682,0-5336,0
0-1421,0-3821,0
0-5080,0-3244,0
0-4699,0-2008,0
0-1695,0-4617,0
0-3535,0-3335,0
0-1316,0-3969,0
0-3044,0-4017,0
0-4949,0-3408,0
0-4336,0-3687,0
0-4368,0-1423,0
0-3928,0-4187,0
0-2542,0-4862,0
0-3350,0-5483,0
0-4575,0-1923,0
0-3421,0-4318,0
0-5432,0-2858,0
0-5443,0-5385,0
0-5047,0-2962,0
0-1179,0-2928,0
0-1056,0-5266,0
0-5421,0-4678,0
0-2174,0-4334,0
0-5062,0-3325,0
0-2160,0-1016,0
0-3902,0-1076,0
0-3019,0-3082,0
0-4888,0-1916,0
0-4034,0-3966,0
0-1653,0-4539,0
0-593,0-4689,0
0-4265,0-3767,0
0-2356,0-4807,0
0-4924,0-5022,0
0-5655,0-3748,0
0-2201,0-3640,0
0-4677,0-2594,0
0-4675,0-812,0
0-620,0-3409,0
0-5332,0-4872,0
0-4647,0-4322,0
0-1838,0-888,0
0-5149,0-2581,0
0-1590,0-5320,0
0-2880,0-3541,0
0-3276,0-2603,0
0-5311,0-2674,0
0-5500,0-3261,0
0-3136,0-2862,0
0-1658,0-4209,0
0-5522,0-4983,0
0-3531,0-1415,0
0-895,0-3730,0
0-4585,0-2195,0
0-4022,0-3471,0
0-2652,0-1196,0
0-5420,0-5242,0
0-5104,0-4905,0
0-5426,0-5460,0
0-2704,0-3847,0
0-2868,0-3161,0
0-5126,0-4137,0
0-3955,0-2470,0
0-4532,0-2999,0
0-2648,0-4460,0
0-4867,0-5621,0
0-3329,0-4264,0
0-5466,0-2918,0
0-991,0-5307,0
0-1505,0-4044,0
0-2791,0-4660,0
0-4111,0-5450,0
0-4429,0-2027,0
0-4928,0-4124,0
0-5357,0-4535,0
0-5375,0-2407,0
0-1872,0-4510,0
0-3430,0-2164,0
0-3905,0-1822,0
0-5108,0-4992,0
0-2720,0-4422,0
0-2724,0-4378,0
0-4710,0-4314,0
0-2266,0-2466,0
0-4780,0-4103,0
0-4558,0-1664,0
0-1658,0-4742,0
0-4674,0-5009,0
0-5107,0-3758,0
0-3454,0-2619,0
0-5374,0-2475,0
0-4137,0-5261,0
0-4743,0-3750,0
0-834,0-2550,0
0-4536,0-5441,0
0-5550,0-4652,0
0-3733,0-5271,0
0-4180,0-4360,0
0-904,0-5416,0
0-4561,0-4263,0
0-5497,0-5641,0
0-2238,0-3655,0
0-5156,0-4609,0
0-3699,0-3514,0
0-4004,0-3881,0
0-4957,0-2291,0
0-1453,0-3799,0
0-2098,0-5268,0
0-2745,0-5338,0
0-4001,0-4501,0
0-2056,0-796,0
0-4970,0-2718,0
0-1701,0-3154,0
0-4261,0-2641,0
0-3666,0-4049,0
0-4263,0-1298,0
0-4019,0-4499,0
0-4226,0-5321,0
0-3125,0-4805,0
0-3950,0-4609,0
0-2884,0-3344,0
0-2854,0-4109,0
0-1476,0-3195,0
0-3727,0-5644,0
0-4802,0-2378,0
0-5452,0-5650,0
0-4495,0-4349,0
0-5257,0-2348,0
0-3486,0-3521,0
0-4874,0-5161,0
0-584,0-4013,0
0-4404,0-5160,0
0-1892,0-1806,0
0-4214,0-5246,0
0-5346,0-4163,0
0-2678,0-4897,0
0-5415,0-5233,0
0-4905,0-4807,0
0-953,0-3402,0
0-3551,0-4165,0
0-3858,0-4831,0
0-4662,0-5265,0
0-2187,0-5568,0
0-4310,0-3324,0
0-2694,0-3845,0
0-1376,0-2746,0
0-5544,0-3758,0
0-5433,0-3635,0
0-1795,0-2022,0
0-4268,0-4210,0
0-4301,0-5645,0
0-2945,0-1943,0
0-4265,0-4203,0
0-4003,0-5060,0
0-1283,0-4270,0
0-5668,0-818,0
0-1737,0-2816,0
0-2852,0-2766,0
0-5516,0-2670,0
0-3746,0-2695,0
0-3337,0-1339,0
0-2697,0-3745,0
0-4535,0-2437,0
0-4746,0-3631,0
0-1661,0-4918,0
0-4598,0-5156,0
0-808,0-4451,0
0-3398,0-5300,0
0-4631,0-3642,0
0-5030,0-2350,0
0-1010,0-2895,0
0-5551,0-4694,0
0-5449,0-4285,0
0-3734,0-2429,0
0-2438,0-2777,0
0-2941,0-2843,0
0-2752,0-5317,0
0-1907,0-4916,0
0-4637,0-5499,0
0-4376,0-4271,0
0-4582,0-5609,0
0-4744,0-3430,0
0-5395,0-2601,0
0-2677,0-5598,0
0-2723,0-2049,0
0-1897,0-2277,0
0-4427,0-5217,0
0-1425,0-5408,0
0-3689,0-3709,0
0-4514,0-4378,0
0-5111,0-4350,0
0-4183,0-641,0
0-3940,0-2382,0
0-5647,0-4740,0
0-5654,0-4992,0
0-3012,0-5032,0
0-2284,0-5557,0
0-5195,0-3524,0
0-5494,0-5057,0
0-3986,0-4437,0
0-3141,0-2940,0
0-5148,0-4527,0
0-4526,0-1707,0
0-3102,0-4794,0
0-534,0-5226,0
0-4434,0-4366,0
0-1320,0-3572,0
0-5666,0-3620,0
0-3479,0-4360,0
0-2805,0-642,0
0-324,0-4336,0
0-2073,0-4956,0
0-4864,0-3391,0
0-1697,0-4064,0
0-4227,0-3508,0
0-5298,0-1191,0
0-4525,0-5169,0
0-3417,0-5172,0
0-4910,0-5548,0
0-3549,0-3165,0
0-2809,0-3539,0
0-5458,0-1856,0
0-1754,0-2626,0
0-1767,0-5424,0
0-3312,0-3148,0
0-3118,0-5619,0
0-711,0-804,0
0-3635,0-1310,0
0-4972,0-5324,0
0-4966,0-1836,0
0-4183,0-4752,0
0-5174,0-2414,0
0-4561,0-3012,0
0-1751,0-5113,0
0-3478,0-5405,0
0-3052,0-3113,0
0-3937,0-4330,0
0-5639,0-2746,0
0-2469,0-3449,0
0-3996,0-592,0
0-3677,0-1900,0
0-515,0-5233,0
0-5344,0-3449,0
0-4221,0-2104,0
0-3716,0-3950,0
0-3036,0-5561,0
0-4497,0-4267,0
0-5069,0-4175,0
0-4643,0-3442,0
0-2315,0-2061,0
0-4515,0-556,0
0-3796,0-2093,0
0-3533,0-508,0
0-1890,0-3984,0
0-5598,0-3181,0
0-5332,0-3946,0
0-5667,0-2851,0
0-4143,0-1989,0
0-4603,0-680,0
0-3473,0-4092,0
0-2861,0-1964,0
0-4936,0-4180,0
0-5355,0-3979,0
0-3392,0-4351,0
0-4273,0-1750,0
0-1105,0-785,0
0-5557,0-5273,0
0-3627,0-4458,0
0-2803,0-5528,0
0-3597,0-4740,0
0-1657,0-5526,0
0-5127,0-3890,0
0-5386,0-4787,0
0-4670,0-5546,0
0-4920,0-792,0
0-3241,0-2777,0
0-3927,0-2080,0
0-5671,0-4915,0
0-3306,0-4534,0
0-4472,0-5161,0
0-5474,0-5348,0
0-4651,0-5378,0
0-5097,0-5020,0
0-5230,0-533,0
0-3345,0-4337,0
0-5150,0-4964,0
0-3253,0-2651,0
0-2956,0-5570,0
0-2743,0-3343,0
0-1562,0-3330,0
0-4087,0-3885,0
0-2182,0-4169,0
0-2377,0-1814,0
0-4077,0-3857,0
0-2420,0-1083,0
0-1015,0-5159,0
0-1465,0-5471,0
0-4829,0-4654,0
0-4473,0-1902,0
0-5025,0-2645,0
0-1204,0-5584,0
0-4920,0-4464,0
0-1406,0-4923,0
0-5176,0-3354,0
0-1503,0-4709,0
0-2694,0-2957,0
0-4113,0-5630,0
0-2453,0-5152,0
0-591,0-4084,0
0-2735,0-1291,0
0-2295,0-5576,0
0-4886,0-5274,0
0-3014,0-4227,0
0-3078,0-4795,0
0-4557,0-2215,0
0-5621,0-526,0
0-3899,0-4542,0
0-2022,0-5525,0
0-4616,0-4747,0
0-4188,0-5651,0
0-4813,0-5303,0
0-2234,0-969,0
0-3967,0-4890,0
0-4474,0-4305,0
0-4515,0-5277,0
0-2399,0-5499,0
0-5463,0-3202,0
0-1622,0-4115,0
0-5525,0-4013,0
0-5214,0-5114,0
0-3404,0-4206,0
0-4885,0-5405,0
0-3169,0-5103,0
0-4169,0-5386,0
0-3622,0-3270,0
0-4855,0-5528,0
0-5495,0-1546,0
0-4537,0-459,0
0-3477,0-4301,0
0-5533,0-3909,0
0-3170,0-1924,0
0-4516,0-2285,0
0-5565,0-2640,0
0-2968,0-5033,0
0-2514,0-4092,0
0-1506,0-4584,0
0-4555,0-5459,0
0-1774,0-1080,0
0-4867,0-2393,0
0-3189,0-3081,0
0-4253,0-5359,0
0-2282,0-4581,0
0-3881,0-3762,0
0-2855,0-5069,0
0-5071,0-3489,0
0-3037,0-5214,0
0-1979,0-3274,0
0-4625,0-5267,0
0-3824,0-2976,0
0-1817,0-4361,0
0-4207,0-3590,0
0-3100,0-1538,0
0-5475,0-5522,0
0-3734,0-1293,0
0-3224,0-4652,0
0-2572,0-4623,0
0-2885,0-5390,0
0-1462,0-4519,0
0-5370,0-4331,0
0-3939,0-3575,0
0-4955,0-1368,0
0-5643,0-4864,0
0-2182,0-3521,0
0-2969,0-2400,0
0-778,0-4857,0
0-5374,0-2530,0
0-1025,0-4551,0
0-4687,0-4621,0
0-4134,0-4242,0
0-4378,0-3601,0
0-1184,0-3849,0
0-4868,0-4376,0
0-4388,0-5090,0
0-2836,0-3554,0
0-4190,0-5375,0
0-700,0-1629,0
0-2794,0-3793,0
0-4981,0-4846,0
0-5342,0-4027,0
0-5604,0-2335,0
0-2115,0-3724,0
0-4102,0-5350,0
0-689,0-1486,0
0-1534,0-3045,0
0-3836,0-3922,0
0-2854,0-3629,0
0-3143,0-4854,0
0-4476,0-4851,0
0-4349,0-4615,0
0-5577,0-4280,0
0-449,0-2613,0
0-4678,0-4259,0
0-5614,0-3119,0
0-3595,0-4848,0
0-4072,0-3697,0
0-4727,0-5427,0
0-5290,0-4416,0
0-5399,0-3859,0
0-5493,0-4318,0
0-5401,0-1587,0
0-3897,0-4678,0
0-1720,0-4051,0
0-5291,0-2868,0
0-3209,0-2967,0
0-3671,0-4147,0
0-2793,0-5427,0
0-1249,0-3137,0
0-5594,0-4251,0
0-4966,0-5054,0
